Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;HP;"для бизнеса; для работы и учебы";56995;0;0;DOS;10;Intel;Core i5;1235U;nan;NVIDIA;GeForce MX550;nan;nan;512;8;DDR4;1;nan;6;nan
SberMegaMarket;HP;"для бизнеса; для работы и учебы";64990;0;0;DOS;10;Intel;Core i7;1255U;nan;Intel;Iris Xe Graphics;14;nan;512;8;DDR4;1;пластик;8;nan
SberMegaMarket;Machenike;"для бизнеса; для работы и учебы; игровой";74788;0;0;Windows;8;Intel;Core i5;12450H;nan;NVIDIA;GeForce GTX 1650;nan;144;512;8;DDR4;1;nan;8;nan
SberMegaMarket;Machenike;"для бизнеса; для работы и учебы; игровой";79905;0;0;Windows;8;Intel;Core i5;12450H;nan;NVIDIA;GeForce RTX 3050;nan;144;512;8;DDR4;1;"алюминий; пластик";4;nan
SberMegaMarket;MSI;"для бизнеса; для работы и учебы; игровой";85883;0;0;Windows;4;Intel;Core i7;1195G7;nan;Intel;Iris Xe Graphics;14;nan;512;16;DDR4;1;nan;5;nan
SberMegaMarket;Lenovo;универсальный;90850;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;256;8;DDR4;1;nan;авг.91;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы; игровой";89178;0;0;DOS;12;Intel;Core i5;12500H;nan;Intel;Iris Xe Graphics;14;90;512;8;DDR4;1;nan;6;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы";55070;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;1;nan;6;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы";61190;0;0;Windows;4;Intel;Core i7;1165G7;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;1;nan;5;nan
SberMegaMarket;Lenovo;"для бизнеса; для работы и учебы";70586;0;0;Windows;8;AMD;Ryzen 7;5800U;nan;AMD;Radeon RX Vega 7;nan;nan;512;8;DDR4;0;nan;6;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы";67805;0;0;DOS;4;Intel;Core i7;1165G7;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;1;nan;6;nan
SberMegaMarket;Lenovo;"для бизнеса; для работы и учебы";73053;0;0;Windows;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;nan;nan;512;16;DDR4;0;nan;6;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы; игровой";72583;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;14;60;1024;8;DDR4;1;nan;6;nan
SberMegaMarket;Lenovo;"для бизнеса; для работы и учебы";91055;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;14;60;1024;16;DDR4;1;nan;10;nan
SberMegaMarket;HP;универсальный;78138;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;256;8;DDR4;0;nan;5;nan
SberMegaMarket;HP;универсальный;114720;0;0;Windows;4;Intel;Core i7;1165G7;nan;Intel;Iris Xe Graphics;nan;nan;512;16;DDR4;0;nan;5;nan
SberMegaMarket;HP;универсальный;68540;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;16;DDR4;0;nan;5;nan
SberMegaMarket;Lenovo;универсальный;71042;0;0;Windows;6;AMD;Ryzen 5;5500U;nan;AMD;Radeon Graphics;14;nan;256;8;DDR4;0;nan;5;nan
SberMegaMarket;Lenovo;универсальный;92897;0;0;Windows;6;AMD;Ryzen 5;5625U;nan;AMD;Radeon Graphics;14;nan;256;8;DDR4;0;nan;5;nan
SberMegaMarket;Lenovo;универсальный;69461;0;0;Без ОС;6;AMD;Ryzen 5;5500U;nan;AMD;Radeon Graphics;nan;nan;256;8;DDR4;0;nan;5;nan
SberMegaMarket;Lenovo;для работы и учебы;87220;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;16;DDR4;1;nan;7;nan
