Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
ASUS,59 999 ₽,74 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,1.6 кг

Irbis,nan,15 999 ₽,1 год,Китай,nan,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"11.6""(29.4 см)","11.6""/1366x768 пикс.",nan,nan,4 ГБ,LPDDR3,1 шт,пластик,до 5 часов,1 кг

Thunderobot,129 999 ₽,149 999,1 год,Китай,GAMING,Windows 11 Pro 64,установлена,8,5800H,AMD Ryzen 7 5800H 3.2 ГГц,Ryzen 7,3.2 ГГц,NVIDIA,GeForce RTX 3070 8GB,8 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.2 кг

Honor,62 999 ₽,69 999,1 год,Китай,MagicBook X 15,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,nan

Haier,69 999 ₽,74 999,1 год,Китай,GAMING,Windows 11 Домашняя,установлена,6,11400H,Intel Core i5 11400H 2.2 ГГц,Core i5,2.2 ГГц,NVIDIA,GeForce GTX 1650 4GB Max-Q,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.85 кг

Acer,31 999 ₽,39 999,1 год,Китай,Swift 1,Windows 10 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,LPDDR4X,1 шт,пластик,до 15 часов,1.3 кг

