Brand,Series,PriceNow,PriceOriginal,Guarantee_year,OS,CoresNumber,Processor,ProcessorType,ProcessorModel,ProcessorFrequency_GHz,GpuManufacturer,GpuController,ScreenSize_inch,ScreenFrequency_GHz,SSDSize_GGb,RAM_GGb,RAM_type,HDMI,Material,Battery_hour,Weight_kg
Acer,Swift 3,54999.0,62999,1,Windows 11 Домашняя 64,6.0,,,,,AMD,Radeon,14,,512.0,8.0,LPDDR4X,1.0,металл,9,1.2
Lenovo,IdeaPad Gaming 3 15ACH6,74999.0,84999,1,не установлена,6.0,AMD,Ryzen 5,Ryzen 5 5600H,3.2,NVIDIA,GeForce RTX 3050,,60,512.0,8.0,DDR4 SO-DIMM,1.0,пластик,,2.25
HUAWEI,Matebook D 15,74899.0,74899,1,Windows 11 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,,512.0,16.0,DDR4,1.0,металл,7,1.56
HP,,45999.0,49999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,15.6,,512.0,8.0,DDR4,1.0,пластик,7,1.69
ASUS,,84999.0,99999,1,Windows 11 Домашняя,6.0,,,,,NVIDIA,GeForce RTX 3050 4GB,15.6,,512.0,16.0,DDR4,1.0,алюминий/ пластик,5,1.65
Acer,Aspire 3,37999.0,44999,1,не установлена,4.0,,,,,AMD,Radeon Vega 8,15.6,,512.0,8.0,DDR4 SO-DIMM,1.0,пластик,7,1.9
Apple,,134999.0,134999,1,macOS,8.0,,,,,,,,,512.0,8.0,,,алюминий,,1.24
HP,,44999.0,54999,1,Windows 11 Домашняя 64,4.0,,,,,AMD,Radeon,15.6,,256.0,8.0,DDR4,1.0,пластик,9.5,1.69
ASUS,VivoBook 15,41999.0,48999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,6,1.8
Irbis,NB,17999.0,19999,1,Windows 10,2.0,,,,,Intel,Intel HD Graphics 500,14.1,,,4.0,LPDDR3,1.0,пластик,3,1.28
HUAWEI,Matebook X Pro,99999.0,109999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,13.9,,512.0,16.0,LPDDR4X,,металл,7,1.33
Acer,Aspire 3,22999.0,22999,1,не установлена,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,4.0,DDR4 SO-DIMM,1.0,пластик,9,1.7
ASUS,,37999.0,44999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,14,,512.0,8.0,DDR4,1.0,пластик,6,1.5
ASUS,,37999.0,44999,1,Windows 10 Домашняя,2.0,,,,,NVIDIA,GeForce MX130 2ГБ,15.6,,256.0,8.0,DDR4,1.0,пластик,5,1.8
ASUS,Laptop,24999.0,29999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics 600,15.6,60,,4.0,DDR4,1.0,пластик,5,1.57
Apple,MacBook Pro,229999.0,229999,1,macOS,10.0,,,,,Apple,,,120,512.0,16.0,,,алюминий,21,2.15
Acer,SF114-34,25999.0,28999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel HD Graphics 615,14,60,,4.0,DDR4,1.0,пластик/ металл,15,1.3
Honor,MagicBook 15,69999.0,69999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,15.6,60,512.0,8.0,DDR4,1.0,алюминиевый сплав,11.5,1.54
Lenovo,V15 G2 ALC,39999.0,59999,1,Windows 11 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,7,1.7
Acer,Swift 3,59999.0,64999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon Vega 5,14,60,1000.0,8.0,LPDDR4X,1.0,металл,13,1.2
ASUS,R565,49999.0,57999,1,не установлена,4.0,,,,,Intel,Intel UHD Graphics,15.6,60,512.0,16.0,DDR4,1.0,пластик,6,1.8
HUAWEI,Matebook X Pro,99999.0,114999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,13.9,,1000.0,16.0,LPDDR4X,,металл,7,1.33
Lenovo,IdeaPad Gaming 3 15ACH6,89999.0,89999,1,не установлена,6.0,AMD,Ryzen 5,Ryzen 5 5600H,3.2,NVIDIA,GeForce RTX 3050 Ti 4GB,,120,512.0,16.0,DDR4 SO-DIMM,1.0,пластик,,2.25
Haier,,49999.0,49999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel UHD Graphics 605,15.6,60,128.0,4.0,DDR4,1.0,пластик/ металл,5,1.5
Irbis,,17899.0,17899,1,Windows 10 Pro,2.0,,,,,Intel,Intel UHD Graphics 600,14.1,,,4.0,LPDDR4,1.0,пластик,5,1.28
Irbis,NB,19999.0,19999,1,Windows 10 Домашняя,4.0,,,,,Intel,Intel HD Graphics,15.6,60,,4.0,DDR3,1.0,пластик,5,1.57
Apple,MacBook Pro,129999.0,129999,1,macOS,8.0,,,,,,,,,512.0,8.0,,,алюминий,20,1.4
HP,,43999.0,49999,1,Windows 11 Домашняя 64,2.0,,,,,AMD,Radeon,17.3,,256.0,8.0,DDR4,1.0,пластик,5.75,2.07
HP,,48999.0,54999,1,Windows 11 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,15.6,,512.0,8.0,DDR4,1.0,пластик,7,1.69
ASUS,Laptop 14,35999.0,41999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,14,60,256.0,8.0,DDR4,1.0,ABS-пластик,6,1.55
HUAWEI,MateBook 14,74999.0,74999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,14,,512.0,16.0,DDR4,,металл,7,1.49
HP,,34999.0,39999,1,Windows 11 Домашняя 64,2.0,,,,,AMD,Radeon,15.6,,256.0,4.0,DDR4,1.0,пластик,5,1.69
Acer,Nitro,139999.0,149999,1,Windows 11 Домашняя 64,8.0,Intel,Core i7,11800H,2.3,NVIDIA,GeForce RTX 3070 8GB,17.3,144,512.0,16.0,DDR4,1.0,пластик,8,2.7
Haier,GAMING,79999.0,99999,1,Windows 11 Домашняя,6.0,Intel,Core i5,11400H,2.4,NVIDIA,GeForce RTX 3050 Ti 4GB,15.6,144,512.0,16.0,DDR4,1.0,пластик,5,2.5
HP,Pavilion Aero,69999.0,89999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon,13.3,,512.0,8.0,DDR4,1.0,магниевый сплав,10,1
Acer,Aspire 1,24999.0,24999,1,Windows 10,2.0,,,,,AMD,Radeon Graphics,14,,,4.0,DDR4,1.0,пластик,6,1.9
MSI,CROSSHAIR 15,134999.0,149999,1,Windows 11 Домашняя 64,14.0,Intel,Core i7,12700H,3.5,NVIDIA,GeForce RTX 3060 6GB,15.6,144,512.0,16.0,DDR4 SO-DIMM,1.0,металл/ пластик,6,2.3
HP,,34999.0,39999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,Intel UHD Graphics 605,15.6,,256.0,4.0,DDR4,1.0,пластик,5,1.65
Apple,MacBook Pro,137999.0,137999,1,macOS,8.0,,,,,,,,,512.0,8.0,,,алюминий,20,1.4
Apple,MacBook Pro,234999.0,249999,1,macOS,10.0,,,,,Apple,,,120,1000.0,16.0,,,алюминий,17,1.64
Honor,MagicBook 14,59999.0,64999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,14,60,512.0,8.0,DDR4,1.0,алюминиевый сплав,11,1.38
